Debtor,Tuition fees up to date,Scholarship holder,Admission grade,Previous qualification (grade),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Mother's qualification,Father's qualification,Target,Mother_qual_code,Father_qual_code,Mother_qual_label,Father_qual_label
No,Yes,Yes,133.4,130.0,6,6,6,11.5,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,Yes,126.1,139.0,6,7,5,12.333333333333334,37,38,Graduate,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,113.5,130.0,6,6,6,13.666666666666666,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,121.3,139.0,8,10,6,11.833333333333334,37,38,Enrolled,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,121.8,127.0,6,11,4,14.0,1,19,Enrolled,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,159.3,167.0,5,7,5,14.714285714285714,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,120.0,130.0,5,12,5,10.6,38,38,Dropout,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,129.1,130.0,7,9,7,13.044444444444444,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,130.0,130.0,6,10,0,0.0,1,3,Dropout,1,3,Secondary Education - 12th Year,Higher Education - Degree
No,Yes,No,155.3,129.0,6,9,5,13.0,3,3,Dropout,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,139.8,141.0,8,8,8,14.935,38,38,Graduate,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,115.2,125.0,0,0,0,0.0,38,37,Enrolled,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,114.9,125.0,7,8,6,13.133333333333333,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,Yes,131.9,130.0,6,7,6,12.0,19,1,Graduate,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,Yes,126.0,133.0,0,0,0,0.0,1,37,Enrolled,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,130.2,127.0,6,6,5,11.4,1,1,Enrolled,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,120.9,116.0,6,6,0,0.0,1,1,Enrolled,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,126.0,133.1,7,10,5,11.9,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,Yes,128.2,139.0,0,0,0,0.0,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,130.0,130.0,6,8,6,12.571428571428571,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
Yes,Yes,No,120.1,125.0,5,8,5,11.2,1,38,Dropout,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,100.0,160.0,6,7,6,12.0,19,37,Enrolled,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,134.0,148.0,5,9,0,0.0,38,37,Enrolled,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,130.8,150.0,7,8,7,11.975,37,19,Graduate,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
No,Yes,No,135.8,141.0,0,0,0,0.0,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,111.7,118.0,6,12,3,11.666666666666666,38,37,Dropout,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,132.9,142.0,6,8,6,12.333333333333334,38,38,Graduate,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
Yes,Yes,No,115.5,120.0,5,8,3,10.333333333333334,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,Yes,106.0,106.0,6,8,4,10.5,19,37,Dropout,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
Yes,Yes,Yes,120.3,121.0,6,6,6,13.666666666666666,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,Yes,130.8,150.0,7,7,7,14.842857142857142,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,117.0,120.0,6,8,6,12.0,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,110.2,114.0,6,8,5,12.2,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,155.7,140.0,1,1,0,0.0,3,3,Dropout,3,3,Higher Education - Degree,Higher Education - Degree
Yes,Yes,No,180.4,160.0,12,17,6,12.166666666666666,3,3,Dropout,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,125.5,120.0,5,6,5,12.0,19,19,Enrolled,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,110.0,130.0,6,7,6,11.0,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,161.0,160.0,8,8,7,13.08,37,38,Graduate,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,100.0,120.0,5,7,4,10.5,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,117.6,124.0,6,9,6,10.666666666666666,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,128.7,143.0,5,6,4,14.0,38,37,Enrolled,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
Yes,Yes,No,112.2,115.0,5,9,2,10.0,38,19,Enrolled,38,19,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 3rd Cycle
No,Yes,No,100.8,133.1,7,18,0,0.0,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,No,No,105.0,133.1,6,6,6,14.0,19,1,Graduate,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,100.0,133.1,6,7,2,12.0,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,115.5,133.1,6,12,3,12.666666666666666,37,34,Dropout,37,34,Basic Education - 1st Cycle (4th/5th),Unknown
No,Yes,No,114.0,133.1,8,11,8,11.875,37,19,Graduate,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
No,Yes,No,137.0,130.0,5,9,5,14.0,38,3,Enrolled,38,3,Basic Education - 2nd Cycle (6th/7th/8th),Higher Education - Degree
No,Yes,No,124.9,135.0,6,6,6,13.666666666666666,37,1,Graduate,37,1,Basic Education - 1st Cycle (4th/5th),Secondary Education - 12th Year
No,Yes,Yes,120.3,132.0,7,7,7,13.75,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,134.3,135.0,5,7,5,14.2,1,2,Enrolled,1,2,Secondary Education - 12th Year,Bachelor's Degree
Yes,No,No,111.5,115.0,7,10,4,11.96,3,3,Dropout,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,128.8,130.0,10,12,8,12.875,38,38,Dropout,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,110.0,133.1,0,0,0,0.0,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,113.5,130.0,6,0,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,160.0,133.1,18,19,18,14.63157894736842,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,117.4,123.0,6,0,0,0.0,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
Yes,Yes,No,122.2,130.0,10,12,10,13.0,3,1,Graduate,3,1,Higher Education - Degree,Secondary Education - 12th Year
No,Yes,No,118.2,122.0,6,0,0,0.0,37,38,Dropout,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,106.7,113.0,6,15,4,14.2,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,108.2,111.0,7,9,6,13.266666666666666,3,4,Dropout,3,4,Higher Education - Degree,Master's Degree
No,Yes,No,107.0,133.1,7,12,6,11.666666666666666,19,1,Enrolled,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,136.1,142.0,6,8,6,13.857142857142858,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,115.3,123.0,5,9,3,13.0,1,38,Enrolled,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,139.8,131.0,5,6,5,13.4,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,157.0,158.0,6,6,6,12.666666666666666,1,38,Graduate,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,131.0,122.0,7,7,6,12.516666666666666,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,100.0,130.0,7,11,6,11.616666666666667,38,38,Enrolled,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,140.4,154.0,6,13,2,10.0,19,37,Enrolled,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,113.4,120.0,5,11,3,10.333333333333334,19,19,Enrolled,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,137.0,140.0,5,12,5,13.142857142857142,37,38,Graduate,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,121.8,127.0,5,5,5,12.6,2,19,Graduate,2,19,Bachelor's Degree,Basic Education - 3rd Cycle
No,Yes,No,131.0,133.1,6,12,3,11.0,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,118.6,120.0,5,8,5,10.8,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,122.3,137.0,0,0,0,0.0,3,19,Dropout,3,19,Higher Education - Degree,Basic Education - 3rd Cycle
No,Yes,Yes,127.9,131.0,5,5,5,12.8,38,38,Graduate,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,121.3,130.0,6,15,6,14.166666666666666,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,117.1,122.0,7,12,5,12.1,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,160.0,160.0,6,7,6,14.166666666666666,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,145.3,146.0,6,8,5,12.8,19,38,Enrolled,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,122.6,131.0,6,7,6,13.0,1,39,Graduate,1,39,Secondary Education - 12th Year,Technological Specialization Course
No,Yes,No,128.0,132.0,7,7,7,13.467142857142855,1,37,Graduate,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,124.9,138.0,7,9,7,13.2375,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,123.7,130.0,6,6,6,12.333333333333334,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,120.1,126.0,5,7,5,12.4,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,131.7,148.0,7,8,5,14.0,1,19,Dropout,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,133.2,130.0,9,15,9,11.666666666666666,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
Yes,No,Yes,109.3,117.0,6,7,5,12.0,1,38,Dropout,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,113.0,120.0,5,7,4,12.2,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
Yes,Yes,Yes,157.9,153.0,6,6,6,14.833333333333334,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,Yes,112.1,117.0,7,9,5,13.188,19,1,Enrolled,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,174.7,178.0,7,8,7,17.125,19,1,Graduate,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,128.8,129.0,7,7,6,12.666666666666666,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,110.1,116.0,6,8,6,12.666666666666666,19,1,Graduate,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
Yes,No,No,99.7,99.0,5,8,0,0.0,3,1,Enrolled,3,1,Higher Education - Degree,Secondary Education - 12th Year
No,Yes,Yes,121.0,135.0,6,7,6,11.333333333333334,1,12,Graduate,1,12,Secondary Education - 12th Year,11th Year - Other
No,Yes,Yes,131.7,141.0,7,10,7,13.605,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,Yes,119.1,132.0,6,10,5,12.0,37,38,Graduate,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,124.7,132.0,5,10,0,0.0,12,19,Dropout,12,19,11th Year - Other,Basic Education - 3rd Cycle
No,Yes,No,117.2,113.0,6,8,5,11.2,1,37,Dropout,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,128.8,134.0,5,10,5,13.375,3,19,Graduate,3,19,Higher Education - Degree,Basic Education - 3rd Cycle
No,Yes,Yes,131.5,136.0,7,8,6,13.863333333333337,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,121.7,136.0,0,0,0,0.0,3,37,Enrolled,3,37,Higher Education - Degree,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,123.4,129.0,5,6,5,12.4,1,38,Graduate,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,124.7,138.0,6,11,3,12.333333333333334,38,38,Enrolled,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,132.8,137.0,6,7,6,13.333333333333334,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,108.7,115.0,6,10,3,12.666666666666666,3,37,Dropout,3,37,Higher Education - Degree,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,138.1,129.0,6,8,6,12.0,38,37,Dropout,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,126.5,131.0,5,5,5,10.6,38,38,Graduate,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,127.4,133.0,6,8,6,12.25,1,37,Graduate,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,123.6,125.0,6,10,4,11.0,19,1,Graduate,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,Yes,122.0,120.0,6,11,5,11.0,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,118.2,128.0,6,6,6,13.166666666666666,19,1,Dropout,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,Yes,123.9,127.0,7,9,7,12.855555555555554,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,125.8,134.0,7,8,7,14.91875,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,123.3,132.0,6,13,4,11.5,12,12,Dropout,12,12,11th Year - Other,11th Year - Other
No,Yes,No,124.4,124.0,5,5,5,14.2,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,Yes,126.0,133.1,6,6,6,12.5,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
Yes,Yes,No,170.0,170.0,1,1,0,0.0,1,37,Enrolled,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,121.5,125.0,6,10,5,11.666666666666666,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,130.0,130.0,8,8,7,14.257142857142856,2,2,Graduate,2,2,Bachelor's Degree,Bachelor's Degree
No,Yes,No,117.0,125.0,6,13,3,12.0,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,130.0,130.0,5,13,4,11.25,37,19,Enrolled,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
No,Yes,No,108.0,133.1,7,8,7,12.457142857142856,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,132.3,131.0,7,7,6,11.683333333333332,2,38,Graduate,2,38,Bachelor's Degree,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,148.0,150.0,6,10,3,11.666666666666666,19,2,Graduate,19,2,Basic Education - 3rd Cycle,Bachelor's Degree
Yes,No,No,122.6,125.0,6,8,4,11.75,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,123.0,131.0,5,6,3,11.666666666666666,37,37,Enrolled,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,102.5,130.0,6,9,5,13.2,37,19,Graduate,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
No,Yes,No,113.3,123.0,7,8,4,11.95,34,34,Dropout,34,34,Unknown,Unknown
No,Yes,No,133.0,141.0,6,8,5,12.4,37,19,Dropout,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
No,Yes,No,140.0,140.0,7,8,6,14.35,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,128.3,140.0,21,21,21,12.61904761904762,3,1,Graduate,3,1,Higher Education - Degree,Secondary Education - 12th Year
No,Yes,Yes,140.0,140.0,6,7,6,12.666666666666666,37,19,Enrolled,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
Yes,No,No,104.0,133.1,6,6,5,12.0,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,No,No,122.3,131.0,6,6,6,12.166666666666666,1,37,Dropout,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
